srno,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerId,Country,InvoiceTimestamp,UUID
3108,536598,21421,PORCELAIN ROSE LARGE,12,2010-12-02T00:00:00.000-08:00,1.25,"",United Kingdom,2010-12-02T07:48:00.000-08:00,df8230a4-d36c-41b6-84d1-8772674ebd47
3109,536598,21422,PORCELAIN ROSE SMALL,16,2010-12-02T00:00:00.000-08:00,0.85,"",United Kingdom,2010-12-02T07:48:00.000-08:00,e0b82955-71e1-4740-bec1-34332e1734d1
3110,536598,22178,VICTORIAN GLASS HANGING T-LIGHT,24,2010-12-02T00:00:00.000-08:00,1.25,"",United Kingdom,2010-12-02T07:48:00.000-08:00,e7ee381e-8ef6-49b5-afea-56731487086a
3111,536598,22617,BAKING SET SPACEBOY DESIGN,24,2010-12-02T00:00:00.000-08:00,4.25,"",United Kingdom,2010-12-02T07:48:00.000-08:00,118d8da2-2470-457c-972a-c027ff69bd25
3112,536599,22968,ROSE COTTAGE KEEPSAKE BOX,8,2010-12-02T00:00:00.000-08:00,8.5,"",United Kingdom,2010-12-02T07:49:00.000-08:00,3ba49962-b973-4cd8-8da0-a5df1727124b
3113,536599,22727,ALARM CLOCK BAKELIKE RED,4,2010-12-02T00:00:00.000-08:00,3.75,"",United Kingdom,2010-12-02T07:49:00.000-08:00,15f6b56e-3279-4171-9c6e-aca7f3439d16
3114,536599,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-02T00:00:00.000-08:00,3.75,"",United Kingdom,2010-12-02T07:49:00.000-08:00,f899d52c-16f9-486f-b11b-d894c5b2408a
3115,536599,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,2010-12-02T00:00:00.000-08:00,0.85,"",United Kingdom,2010-12-02T07:49:00.000-08:00,94fd3eae-0543-4453-b9c0-1b133c89f4c2
3116,536599,20749,ASSORTED COLOUR MINI CASES,12,2010-12-02T00:00:00.000-08:00,6.35,"",United Kingdom,2010-12-02T07:49:00.000-08:00,33e371e8-2c24-4e46-a506-40ac48ef032b
3117,536599,21056,DOCTOR'S BAG SOFT TOY,8,2010-12-02T00:00:00.000-08:00,8.95,"",United Kingdom,2010-12-02T07:49:00.000-08:00,cea69345-f718-4042-a4d1-608cd3be279f
3118,536600,"",WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02T00:00:00.000-08:00,2.55,"",United Kingdom,2010-12-02T08:32:00.000-08:00,4dbf5c1b-438b-4a43-8e26-df568efb0da8
3119,536600,71053,WHITE METAL LANTERN,6,2010-12-02T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-02T08:32:00.000-08:00,fdb372a2-bf66-4c1b-8503-ef1aca84566b
3120,536600,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2010-12-02T00:00:00.000-08:00,4.95,"",United Kingdom,2010-12-02T08:32:00.000-08:00,62ebb029-db21-4817-931c-61ad2c7c9cb0
3121,536600,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,2010-12-02T00:00:00.000-08:00,6.95,"",United Kingdom,2010-12-02T08:32:00.000-08:00,4c7c6db6-0480-4e01-a286-2e472e97514e
