srno,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerId,Country,InvoiceTimestamp,UUID
3108,536598,21421,PORCELAIN ROSE LARGE,12,2010-12-02T00:00:00.000-08:00,1.25,"",United Kingdom,2010-12-02T07:48:00.000-08:00,f5596a57-47d5-486c-b0f0-ee6c13d3c97a
3109,536598,21422,PORCELAIN ROSE SMALL,16,2010-12-02T00:00:00.000-08:00,0.85,"",United Kingdom,2010-12-02T07:48:00.000-08:00,60492e70-d51c-4893-bfb7-944909ba1e58
3110,536598,22178,VICTORIAN GLASS HANGING T-LIGHT,24,2010-12-02T00:00:00.000-08:00,1.25,"",United Kingdom,2010-12-02T07:48:00.000-08:00,207be873-c6fb-442a-b7c4-20f825c2a219
3111,536598,22617,BAKING SET SPACEBOY DESIGN,24,2010-12-02T00:00:00.000-08:00,4.25,"",United Kingdom,2010-12-02T07:48:00.000-08:00,2f142147-bc18-4968-86c4-05b5344962e1
3112,536599,22968,ROSE COTTAGE KEEPSAKE BOX,8,2010-12-02T00:00:00.000-08:00,8.5,"",United Kingdom,2010-12-02T07:49:00.000-08:00,932b6412-2c18-4683-8a03-7bccd0e2b2c7
3113,536599,22727,ALARM CLOCK BAKELIKE RED,4,2010-12-02T00:00:00.000-08:00,3.75,"",United Kingdom,2010-12-02T07:49:00.000-08:00,038d4443-e85b-40db-a6ef-4804738f95ee
3114,536599,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-02T00:00:00.000-08:00,3.75,"",United Kingdom,2010-12-02T07:49:00.000-08:00,91e36906-7a11-4e87-aa80-1c4d1633de99
3115,536599,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,2010-12-02T00:00:00.000-08:00,0.85,"",United Kingdom,2010-12-02T07:49:00.000-08:00,31d6ef20-30b6-4d86-9668-b5491dc5fe34
3116,536599,20749,ASSORTED COLOUR MINI CASES,12,2010-12-02T00:00:00.000-08:00,6.35,"",United Kingdom,2010-12-02T07:49:00.000-08:00,e1087eaa-0409-4c1a-aae3-bbbe48406e78
3117,536599,21056,DOCTOR'S BAG SOFT TOY,8,2010-12-02T00:00:00.000-08:00,8.95,"",United Kingdom,2010-12-02T07:49:00.000-08:00,76f7202f-edda-4215-9437-ed106d38f294
3118,536600,"",WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-02T00:00:00.000-08:00,2.55,"",United Kingdom,2010-12-02T08:32:00.000-08:00,ba19e867-3e27-42bb-a835-2ceed46afed8
