srno,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerId,Country,InvoiceTimestamp,UUID
0,536365,"",WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01T00:00:00.000-08:00,2.55,"",United Kingdom,2010-12-01T08:26:00.000-08:00,5a1c52f4-11dc-455d-825c-03aeeca4b454
1,536365,71053,WHITE METAL LANTERN,6,2010-12-01T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-01T08:26:00.000-08:00,78bace98-a48d-4f1c-90b5-9b9e816000ac
2,536365,"",CREAM CUPID HEARTS COAT HANGER,8,2010-12-01T00:00:00.000-08:00,2.75,"",United Kingdom,2010-12-01T08:26:00.000-08:00,a9003a7a-36f8-4696-aa04-2945bb3b69a3
3,536365,"",KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-01T08:26:00.000-08:00,b02b2adf-b556-4824-931d-99c0747c32d7
4,536365,"",RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-01T08:26:00.000-08:00,6356c81a-4127-4c8d-bc5c-79179774b948
5,536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01T00:00:00.000-08:00,7.65,"",United Kingdom,2010-12-01T08:26:00.000-08:00,6f96fe24-bfb7-4762-b3cd-10a80a855a66
6,536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01T00:00:00.000-08:00,4.25,"",United Kingdom,2010-12-01T08:26:00.000-08:00,b6215044-59b7-4f22-a52f-5deb987c82e7
7,536366,22633,HAND WARMER UNION JACK,6,2010-12-01T00:00:00.000-08:00,1.85,"",United Kingdom,2010-12-01T08:28:00.000-08:00,6a96503c-dceb-40e6-a84b-5b11ca14d06b
8,536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01T00:00:00.000-08:00,1.85,"",United Kingdom,2010-12-01T08:28:00.000-08:00,5cfe1ae5-ff04-4eb6-95c1-6eb5250d87f4
9,536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01T00:00:00.000-08:00,1.69,"",United Kingdom,2010-12-01T08:34:00.000-08:00,d19114a3-4a58-4589-853a-91ccf8225ce2
10,536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01T00:00:00.000-08:00,2.1,"",United Kingdom,2010-12-01T08:34:00.000-08:00,1ad92c7f-3e0f-4e39-821d-56847cfd74b8
11,536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01T00:00:00.000-08:00,2.1,"",United Kingdom,2010-12-01T08:34:00.000-08:00,1cd1e588-8f06-48c4-b1b8-2a63c6fe2dc5
12,536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01T00:00:00.000-08:00,3.75,"",United Kingdom,2010-12-01T08:34:00.000-08:00,0962dab5-ca10-4532-83c3-c2fc1354878f
13,536367,22310,IVORY KNITTED MUG COSY,6,2010-12-01T00:00:00.000-08:00,1.65,"",United Kingdom,2010-12-01T08:34:00.000-08:00,9c93ebee-178c-427a-b32a-8d41c5e002ef
14,536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01T00:00:00.000-08:00,4.25,"",United Kingdom,2010-12-01T08:34:00.000-08:00,bef4755c-09d4-4261-9005-7c9a80555a3f
15,536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01T00:00:00.000-08:00,4.95,"",United Kingdom,2010-12-01T08:34:00.000-08:00,83204930-35a7-4fb2-94b4-9b87497da635
16,536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01T00:00:00.000-08:00,9.95,"",United Kingdom,2010-12-01T08:34:00.000-08:00,f7368598-d9bd-448e-8d57-0579e4b3abba
17,536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01T00:00:00.000-08:00,5.95,"",United Kingdom,2010-12-01T08:34:00.000-08:00,5dd5edef-260d-46d2-925e-a802e896ad64
18,536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01T00:00:00.000-08:00,5.95,"",United Kingdom,2010-12-01T08:34:00.000-08:00,6f6ada46-da48-4a57-9f53-ce12dcf02710
19,536367,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01T00:00:00.000-08:00,7.95,"",United Kingdom,2010-12-01T08:34:00.000-08:00,c13a3914-50bf-4115-bfbc-5195dc531b85
20,536367,48187,DOORMAT NEW ENGLAND,4,2010-12-01T00:00:00.000-08:00,7.95,"",United Kingdom,2010-12-01T08:34:00.000-08:00,1fee6233-1ca3-4dd4-aa30-fdd21253570e
21,536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01T00:00:00.000-08:00,4.25,"",United Kingdom,2010-12-01T08:34:00.000-08:00,60903097-20ee-4bd5-9ad0-8c22ec74aa9a
22,536368,22913,RED COAT RACK PARIS FASHION,3,2010-12-01T00:00:00.000-08:00,4.95,"",United Kingdom,2010-12-01T08:34:00.000-08:00,ddeceaaa-6ec1-4dbe-9192-9c11e23ce747
23,536368,22912,YELLOW COAT RACK PARIS FASHION,3,2010-12-01T00:00:00.000-08:00,4.95,"",United Kingdom,2010-12-01T08:34:00.000-08:00,8011966f-3945-4c3a-b8d3-5942b1e87cad
24,536368,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01T00:00:00.000-08:00,4.95,"",United Kingdom,2010-12-01T08:34:00.000-08:00,518fec78-3ff3-44ff-a566-34006ef53d89
25,536369,21756,BATH BUILDING BLOCK WORD,3,2010-12-01T00:00:00.000-08:00,5.95,"",United Kingdom,2010-12-01T08:35:00.000-08:00,2b8b2ad1-dbb2-4aaa-ad03-09442c7514fa
26,536370,22728,ALARM CLOCK BAKELIKE PINK,24,2010-12-01T00:00:00.000-08:00,3.75,"",France,2010-12-01T08:45:00.000-08:00,05e4a135-e339-4161-bbed-2c212bf6cd5b
27,536370,22727,ALARM CLOCK BAKELIKE RED,24,2010-12-01T00:00:00.000-08:00,3.75,"",France,2010-12-01T08:45:00.000-08:00,21b2331a-c81c-487e-adbc-17e0783f7475
28,536370,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-01T00:00:00.000-08:00,3.75,"",France,2010-12-01T08:45:00.000-08:00,3889ee53-a26b-4085-b222-571e271072a6
29,536370,21724,PANDA AND BUNNIES STICKER SHEET,12,2010-12-01T00:00:00.000-08:00,0.85,"",France,2010-12-01T08:45:00.000-08:00,b03880a9-ac48-40f7-934e-6ad007ea3c76
30,536370,21883,STARS GIFT TAPE,24,2010-12-01T00:00:00.000-08:00,0.65,"",France,2010-12-01T08:45:00.000-08:00,71668b5f-dff8-42d6-a544-a2e83bc371bf
31,536370,10002,INFLATABLE POLITICAL GLOBE,48,2010-12-01T00:00:00.000-08:00,0.85,"",France,2010-12-01T08:45:00.000-08:00,bac7d7de-6c1c-4306-82af-bd26881bc918
32,536370,21791,VINTAGE HEADS AND TAILS CARD GAME,24,2010-12-01T00:00:00.000-08:00,1.25,"",France,2010-12-01T08:45:00.000-08:00,c19c1df6-cac3-4c11-8d5f-16abcc92b235
33,536370,21035,SET/2 RED RETROSPOT TEA TOWELS,18,2010-12-01T00:00:00.000-08:00,2.95,"",France,2010-12-01T08:45:00.000-08:00,7f74820d-ee82-4656-8d28-991d940e8c51
34,536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND,24,2010-12-01T00:00:00.000-08:00,2.95,"",France,2010-12-01T08:45:00.000-08:00,4c6d637f-5df1-4b92-940e-823216577daa
