srno,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerId,Country,InvoiceTimestamp,UUID
0,536365,"",WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01T00:00:00.000-08:00,2.55,"",United Kingdom,2010-12-01T08:26:00.000-08:00,39b737b3-d24a-4008-acf6-aa762148de85
1,536365,71053,WHITE METAL LANTERN,6,2010-12-01T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-01T08:26:00.000-08:00,bf5925de-ec9a-4e15-842c-bdd89e098da1
2,536365,"",CREAM CUPID HEARTS COAT HANGER,8,2010-12-01T00:00:00.000-08:00,2.75,"",United Kingdom,2010-12-01T08:26:00.000-08:00,5931b5e2-62ce-4b8e-a0e9-0ef815e60c12
3,536365,"",KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-01T08:26:00.000-08:00,a90b85a7-b11e-4ce7-90e2-4a1047db9aa0
4,536365,"",RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01T00:00:00.000-08:00,3.39,"",United Kingdom,2010-12-01T08:26:00.000-08:00,0077411b-b342-4a16-90ab-1926e3388500
5,536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01T00:00:00.000-08:00,7.65,"",United Kingdom,2010-12-01T08:26:00.000-08:00,8d0677dd-a46b-4087-9974-f5dd8949cae8
6,536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01T00:00:00.000-08:00,4.25,"",United Kingdom,2010-12-01T08:26:00.000-08:00,6aeb41ab-20b8-494a-8efd-588c07932b62
7,536366,22633,HAND WARMER UNION JACK,6,2010-12-01T00:00:00.000-08:00,1.85,"",United Kingdom,2010-12-01T08:28:00.000-08:00,fb934dd0-3248-4edb-9d52-0bb2473c04fb
8,536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01T00:00:00.000-08:00,1.85,"",United Kingdom,2010-12-01T08:28:00.000-08:00,4c4fa6aa-ab1c-4c0a-9041-65c61439741f
9,536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01T00:00:00.000-08:00,1.69,"",United Kingdom,2010-12-01T08:34:00.000-08:00,70b7cfc3-eda9-4998-88e7-ea7e9963e54b
10,536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01T00:00:00.000-08:00,2.1,"",United Kingdom,2010-12-01T08:34:00.000-08:00,950c4084-bc1f-403b-a7f5-15fd32079e12
11,536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01T00:00:00.000-08:00,2.1,"",United Kingdom,2010-12-01T08:34:00.000-08:00,cd8bddd7-925c-4b6b-af39-346ec8299067
12,536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01T00:00:00.000-08:00,3.75,"",United Kingdom,2010-12-01T08:34:00.000-08:00,25f0ccd6-6084-4ff3-93bb-dd7671bbef6c
13,536367,22310,IVORY KNITTED MUG COSY,6,2010-12-01T00:00:00.000-08:00,1.65,"",United Kingdom,2010-12-01T08:34:00.000-08:00,177cd3de-ff39-42bc-b434-b4a7aacf5664
